Entry Point,Role,Intent,Greeting,Prompt 1,Prompt 2,Prompt 3,Reviewer Notes
Intake Form,Myself,Find Suitable Clinical Trials,"Welcome to TrialChat! I'm here to help you find clinical trials that match your needs. Let's get started!","I'd like to find clinical trials that match my health profile","What are the eligibility criteria for Alzheimer's disease trials?","Are there trials near my location?",
Intake Form,Someone else,Find Suitable Clinical Trials,"Welcome to TrialChat! I'm here to help you find suitable clinical trials for someone you know. How can I assist?","Help me find clinical trials suitable for someone I know","What eligibility criteria should I know about for Alzheimer's disease trials?","Are there trials available near us?",
Intake Form,Myself,Learn About Clinical Trials,"Welcome to TrialChat! I'm here to answer your questions about Alzheimer's disease and clinical trials. What would you like to learn?","Can you explain what Alzheimer's disease is and why clinical trials matter?","What should I expect if I participate in a clinical trial?","What are the potential risks and benefits of joining a trial?",
Intake Form,Someone else,Learn About Clinical Trials,"Welcome to TrialChat! I'm here to help you learn about Alzheimer's disease clinical trials. What can I explain?","Can you explain Alzheimer's disease and why clinical trials are important?","What happens when someone participates in a clinical trial?","How can I help someone I know prepare for or consider joining a trial?",
Intake Form,Myself,Learn About Alzheimer's Disease,"Welcome to TrialChat! I'm here to help you learn about Alzheimer's disease. What would you like to know?","What are the latest research breakthroughs in Alzheimer's disease and related dementias (ADRD)?","What causes ADRD, and can it be prevented or slowed down?","What are the stages of Alzheimer's disease?",
Intake Form,Someone else,Learn About Alzheimer's Disease,"Welcome to TrialChat! I'm here to help you learn about Alzheimer's disease for someone you care for. What can I explain?","What are the latest research breakthroughs in Alzheimer's disease and related dementias (ADRD)?","What causes ADRD, and can it be prevented or slowed down?","What are the stages of Alzheimer's disease?",
Clinician Modal,Clinician,Learn about ADRD trials,"I can help explain ADRD clinical trials, eligibility criteria, risks and benefits, and referral considerations in clinician-friendly language.","Explain common ADRD trial eligibility criteria","What should clinicians know about risks and benefits of trials?","How do I discuss clinical trials with clients?",
Clinician Modal,Clinician,Pre-screen a client,"Welcome to TrialChat. I can help you pre-screen a client for potential ADRD clinical trial matches. Please provide non-identifying clinical details.","Help me pre-screen a client for ADRD trials","What key eligibility factors matter most for ADRD trials?","Identify potential trials based on a basic client profile",
Intake Form,Clinician,Learn About Alzheimer's Disease,"I can help summarize Alzheimer's disease and related dementias for clinical context, including progression, symptoms, and research updates.","Summarize ADRD for clinical discussion","What are the stages of Alzheimer's disease?","What recent research updates are relevant for clinicians?",
No intake completed (default),—,—,"Welcome to TrialChat! I'm here to help you navigate Alzheimer's disease clinical trials. How can I assist you today?","Can you explain what Alzheimer's disease is and why clinical trials are important?","Find clinical trials that might be right for me?","What are clinical trials and what should I expect if I participate in one?",
